cluster_rep	name_	member_ids	locus	assembly	n_members	n_chromosomes	n_plasmids	virus_percent	product	avg_iso	phylum	species	mean_length	percent_cas13
WP_014390763.1	['AcrIF23']	['WP_014390763.1']	['AcrIF23']	['GCF_000255915.1_ASM25591v1', 'GCF_000259545.1_ASM25954v1', 'GCF_002059225.1_ASM205922v1', 'GCF_002068175.1_ASM206817v1', 'GCF_003402875.1_ASM340287v1', 'GCF_003402895.1_ASM340289v1', 'GCF_003402915.1_ASM340291v1', 'GCF_003402935.1_ASM340293v1', 'GCF_006274235.1_ASM627423v1', 'GCF_006351865.1_ASM635186v1']	10	1.0	0.0	0.0	['hypothetical protein']	7.55926513671875	['g-proteobacteria']	['Pasteurella']	170.0	0.0
WP_124346034.1	[]	['WP_124346034.1']	['AcrIF24']	['GCF_003850565.1_ASM385056v1']	1	1.0	0.0	0.0	['lysis protein']	5.20465087890625	['g-proteobacteria']	['Pseudomonas']	173.0	0.0
WP_035565535.1	[]	['WP_035565535.1']	['AcrIF24']	['GCF_000734975.2_ASM73497v2']	1	0.0	1.0	0.0	['RES domain-containing protein']	6.40399169921875	['g-proteobacteria']	['Halomonas']	154.0	0.0
WP_136953448.1	['AcrIIA1']	['WP_136953448.1']	['AcrIIA1']	['GCF_005145005.1_ASM514500v1']	1	1.0	0.0	0.0	['hypothetical protein']	4.33697509765625	['firmicutes']	['Vagococcus']	164.0	0.0
WP_001169691.1	[]	['WP_032497901.1', 'WP_001169693.1', 'WP_001171244.1', 'WP_001168349.1', 'WP_014294671.1', 'WP_023370100.1', 'WP_093999476.1', 'WP_001171243.1', 'WP_000159602.1', 'WP_014623273.1', 'WP_032499127.1', 'WP_044474380.1', 'WP_111678266.1', 'WP_016398741.1', 'WP_000726045.1', 'YP_003028217.1', 'WP_000159607.1', 'WP_001169729.1', 'WP_079219414.1', 'WP_093958873.1', 'WP_032510356.1', 'WP_024057854.1', 'WP_032510312.1', 'WP_017767814.1', 'WP_032536672.1', 'NP_688298.1', 'WP_001168347.1', 'WP_116449329.1', 'WP_003084018.1', 'WP_001169691.1', 'WP_001180623.1', 'WP_002943390.1', 'WP_120172473.1', 'WP_096376128.1', 'NP_358803.1', 'WP_136581280.1', 'WP_115130438.1', 'WP_111673340.1', 'WP_100881401.1', 'WP_014636642.1', 'WP_000159606.1', 'WP_088196761.1', 'WP_012775127.1', 'WP_104930737.1', 'WP_000159601.1', 'YP_003028678.1', 'WP_099046290.1', 'WP_000726044.1', 'WP_014636960.1', 'WP_012678635.1', 'WP_014636271.1', 'WP_001169692.1', 'WP_014612392.1', 'WP_000159603.1', 'YP_003445900.1', 'WP_001168348.1', 'WP_003052100.1', 'WP_138128047.1', 'WP_099421309.1', 'WP_111681813.1', 'WP_100912002.1', 'WP_044769819.1', 'WP_081097332.1', 'WP_111693171.1', 'WP_003048381.1', 'WP_138125628.1', 'WP_001168336.1', 'WP_001040749.1', 'WP_000159604.1', 'WP_096811935.1', 'WP_006738653.1', 'WP_093998685.1']	['AcrIIA21']	['GCF_000007045.1_ASM704v1', 'GCF_000007265.1_ASM726v1', 'GCF_000014365.2_ASM1436v2', 'GCF_000018985.1_ASM1898v1', 'GCF_000019005.1_ASM1900v1', 'GCF_000019265.1_ASM1926v1', 'GCF_000019825.1_ASM1982v1', 'GCF_000019985.1_ASM1998v1', 'GCF_000026605.1_ASM2660v1', 'GCF_000026665.1_ASM2666v1', 'GCF_000026725.1_ASM2672v1', 'GCF_000026745.1_ASM2674v1', 'GCF_000027165.1_ASM2716v1', 'GCF_000146975.1_ASM14697v1', 'GCF_000147095.1_ASM14709v1', 'GCF_000168355.3_ASM16835v3', 'GCF_000186405.1_ASM18640v1', 'GCF_000196055.1_ASM19605v1', 'GCF_000210955.1_ASM21095v1', 'GCF_000210995.1_ASM21099v1', 'GCF_000211015.1_ASM21101v1', 'GCF_000211035.1_ASM21103v2', 'GCF_000211055.1_ASM21105v2', 'GCF_000211075.1_ASM21107v1', 'GCF_000211095.1_ASM21109v1', 'GCF_000219765.1_ASM21976v1', 'GCF_000231865.1_ASM23186v1', 'GCF_000231885.1_ASM23188v1', 'GCF_000231905.1_ASM23190v1', 'GCF_000344765.1_ASM34476v1', 'GCF_000427035.1_09mas018883', 'GCF_000494895.1_ASM49489v1', 'GCF_000696505.1_ASM69650v1', 'GCF_000730215.1_ASM73021v2', 'GCF_000732355.1_ASM73235v1', 'GCF_000817005.1_ASM81700v1', 'GCF_000993745.1_ASM99374v1', 'GCF_001190885.1_ASM119088v1', 'GCF_001266635.1_ASM126663v1', 'GCF_001272635.1_ASM127263v1', 'GCF_001560895.1_ASM156089v1', 'GCF_001572685.1_ASM157268v1', 'GCF_001610935.1_ASM161093v1', 'GCF_001640765.1_ASM164076v1', 'GCF_001721625.1_ASM172162v1', 'GCF_001729925.2_ASM172992v2', 'GCF_001936415.1_ASM193641v1', 'GCF_001983955.1_ASM198395v1', 'GCF_002000985.1_ASM200098v1', 'GCF_002025025.1_ASM202502v1', 'GCF_002111405.1_ASM211140v1', 'GCF_002189695.1_ASM218969v1', 'GCF_002197205.1_ASM219720v1', 'GCF_002197305.1_ASM219730v1', 'GCF_002197385.1_ASM219738v1', 'GCF_002214425.1_ASM221442v1', 'GCF_002355895.1_ASM235589v1', 'GCF_002356415.1_ASM235641v1', 'GCF_002357995.1_ASM235799v1', 'GCF_002386345.1_ASM238634v1', 'GCF_002443035.1_ASM244303v1', 'GCF_002688665.1_ASM268866v1', 'GCF_002736265.1_ASM273626v1', 'GCF_002803825.1_ASM280382v1', 'GCF_002812525.1_ASM281252v1', 'GCF_002813535.1_ASM281353v1', 'GCF_002813955.1_ASM281395v1', 'GCF_002814135.1_ASM281413v1', 'GCF_002831545.1_ASM283154v1', 'GCF_002900385.1_ASM290038v1', 'GCF_002947575.1_ASM294757v1', 'GCF_003003495.1_ASM300349v1', 'GCF_003144175.1_ASM314417v1', 'GCF_003288015.1_ASM328801v1', 'GCF_003288035.1_ASM328803v1', 'GCF_003288175.1_ASM328817v1', 'GCF_003351525.1_ASM335152v1', 'GCF_003351645.1_ASM335164v1', 'GCF_003351705.1_ASM335170v1', 'GCF_003352225.1_ASM335222v1', 'GCF_003352995.1_ASM335299v1', 'GCF_003354825.1_ASM335482v1', 'GCF_003403115.1_ASM340311v1', 'GCF_003546865.1_ASM354686v1', 'GCF_003609975.1_ASM360997v1', 'GCF_003966485.1_ASM396648v1', 'GCF_003966505.1_ASM396650v1', 'GCF_003966545.1_ASM396654v1', 'GCF_003967155.1_ASM396715v1', 'GCF_004331935.1_ASM433193v1', 'GCF_004843685.1_ASM484368v1', 'GCF_900078265.1_SA111', 'GCF_900187245.1_51470_D02', 'GCF_900474805.1_41800_D01', 'GCF_900474945.1_42017_E01', 'GCF_900474985.1_41965_C01', 'GCF_900475145.1_42727_G01', 'GCF_900475255.1_42545_F02', 'GCF_900475305.1_43721_E02', 'GCF_900475355.1_44087_E01', 'GCF_900475415.1_42206_H01', 'GCF_900475445.1_42727_F01', 'GCF_900475515.1_42731_F01', 'GCF_900475595.1_44343_G01', 'GCF_900475695.1_46463_C01', 'GCF_900475715.1_44927_A02', 'GCF_900475725.1_46166_D01', 'GCF_900475805.1_46514_B03', 'GCF_900476445.1_55312_D02', 'GCF_900476455.1_55312_E02', 'GCF_900476475.1_49768_F01', 'GCF_900476505.1_55312_C02', 'GCF_900618545.1_4496', 'GCF_900635345.1_41686_B01', 'GCF_900636375.1_41594_B01', 'GCF_900636575.1_42912_C01', 'GCF_900636585.1_43058_B01', 'GCF_900636885.1_44927_H01', 'GCF_900637075.1_48128_D02', 'GCF_901472575.1_37277_G01', 'GCF_901521425.1_5645STDY7765767', 'GCF_901543615.1_42731_E02', 'GCF_901543725.1_42731_A01', 'GCF_901543995.1_42880_D01', 'GCF_901544215.1_42880_F01', 'GCF_901553735.1_41965_D01']	146	1.0	0.0	0.0	['50S ribosomal protein L7/L12', 'hypothetical protein']	4.757706315550085	['firmicutes']	['Aerococcaceae', 'Streptococcus']	56.86986301369863	0.0
WP_079769302.1	[]	['WP_074393910.1', 'YP_003028646.1', 'WP_079271163.1', 'WP_079769302.1', 'WP_024394206.1']	['AcrIIA21']	['GCF_000494895.1_ASM49489v1', 'GCF_000732355.1_ASM73235v1', 'GCF_001640765.1_ASM164076v1', 'GCF_001721625.1_ASM172162v1', 'GCF_002831545.1_ASM283154v1', 'GCF_003352225.1_ASM335222v1']	6	1.0	0.0	0.0	['DNA mismatch repair protein MutT', 'GNAT family N-acetyltransferase', 'N-acetyltransferase']	5.986836751302083	['firmicutes']	['Streptococcus']	156.0	0.0
WP_010620892.1	[]	['WP_084988368.1', 'WP_041168821.1', 'WP_003691009.1', 'WP_054712364.1', 'WP_015474625.1', 'WP_049174165.1', 'WP_005693066.1', 'WP_010620892.1', 'WP_114693148.1', 'WP_076636464.1', 'WP_041095820.1', 'WP_068226430.1', 'WP_016527415.1', 'WP_054712554.1', 'YP_163779.1', 'WP_063486894.1', 'WP_085764209.1', 'WP_014082555.1']	['AcrIIA21']	['GCF_000008925.1_ASM892v1', 'GCF_000019245.4_ASM1924v3', 'GCF_000155515.2_ASM15551v2', 'GCF_000359625.1_ASM35962v1', 'GCF_000412205.1_ASM41220v1', 'GCF_000829395.1_ASM82939v1', 'GCF_001191565.1_ASM119156v1', 'GCF_001611035.1_ASM161103v1', 'GCF_001611075.1_ASM161107v1', 'GCF_001611115.1_ASM161111v1', 'GCF_001611135.1_ASM161113v1', 'GCF_001611155.1_ASM161115v1', 'GCF_001659745.1_ASM165974v1', 'GCF_001663655.1_ASM166365v1', 'GCF_001663715.1_ASM166371v1', 'GCF_001663735.1_ASM166373v1', 'GCF_001702135.1_ASM170213v1', 'GCF_001702155.1_ASM170215v1', 'GCF_001702175.1_ASM170217v1', 'GCF_001702195.1_ASM170219v1', 'GCF_001908455.1_ASM190845v1', 'GCF_001922025.1_ASM192202v1', 'GCF_001941785.1_ASM194178v1', 'GCF_001990145.1_ASM199014v1', 'GCF_002116955.1_ASM211695v1', 'GCF_002117245.1_ASM211724v1', 'GCF_002117265.1_ASM211726v1', 'GCF_002158885.1_ASM215888v1', 'GCF_002287905.1_ASM228790v1', 'GCF_002442835.1_ASM244283v1', 'GCF_002849955.1_ASM284995v1', 'GCF_003325395.1_ASM332539v1', 'GCF_003345375.1_ASM334537v1', 'GCF_003627355.1_ASM362735v1', 'GCF_004028335.1_ASM402833v1', 'GCF_004087995.1_ASM408799v1', 'GCF_005576935.1_ASM557693v1', 'GCF_006228245.1_ASM622824v1', 'GCF_006228285.1_ASM622828v1', 'GCF_006228305.1_ASM622830v1']	48	0.041666666666666664	0.9583333333333334	0.0	['AAA family ATPase', 'epsilon-antitoxin', 'hypothetical protein', 'plasmid replication initiation protein']	5.239270528157552	['firmicutes']	['Lactobacillus', 'Pediococcus']	62.916666666666664	0.0
WP_025268122.1	[]	['WP_084014639.1', 'WP_025268122.1', 'WP_071952007.1']	['AcrIIA21']	['GCF_001886915.1_ASM188691v1', 'GCF_002117185.1_ASM211718v1', 'GCF_003255835.1_ASM325583v1', 'GCF_004103675.1_ASM410367v1', 'GCF_004194375.1_ASM419437v1']	5	1.0	0.0	0.0	['hypothetical protein']	5.32039794921875	['firmicutes']	['Leuconostoc']	132.0	0.0
WP_054712561.1	[]	['WP_045353507.1', 'WP_054712561.1', 'YP_163777.1', 'WP_057904615.1', 'WP_005717323.1']	['AcrIIA21']	['GCF_000008925.1_ASM892v1', 'GCF_001611075.1_ASM161107v1', 'GCF_001611135.1_ASM161113v1', 'GCF_001663655.1_ASM166365v1', 'GCF_001663715.1_ASM166371v1', 'GCF_001663735.1_ASM166373v1', 'GCF_001702195.1_ASM170219v1', 'GCF_001702215.1_ASM170221v1', 'GCF_001702235.1_ASM170223v1', 'GCF_002116955.1_ASM211695v1', 'GCF_002117345.1_ASM211734v1', 'GCF_002117375.1_ASM211737v1', 'GCF_002287905.1_ASM228790v1', 'GCF_005576935.1_ASM557693v1']	14	0.0	1.0	0.0	['hypothetical protein']	9.732378278459821	['firmicutes']	['Lactobacillus', 'Pediococcus']	67.0	0.0
WP_018379818.1	[]	['WP_018379818.1']	['AcrIIA21']	['GCF_003352995.1_ASM335299v1']	1	1.0	0.0	0.0	['hypothetical protein']	4.89471435546875	['firmicutes']	['Streptococcus']	205.0	0.0
WP_001071823.1	[]	['WP_001071823.1', 'WP_088203048.1']	['AcrIIA21']	['GCF_000196055.1_ASM19605v1', 'GCF_000307185.1_ASM30718v1', 'GCF_002197385.1_ASM219738v1']	3	1.0	0.0	0.0	['hypothetical protein']	9.56304931640625	['firmicutes']	['Streptococcus']	743.0	0.0
WP_081196500.1	[]	['WP_081196500.1']	['AcrIIA21']	['GCF_002078915.1_ASM207891v1']	1	1.0	0.0	0.0	['hypothetical protein']	9.95758056640625	['firmicutes']	['Lactococcus']	177.0	0.0
WP_002368734.1	[]	['WP_002368734.1']	['AcrIIA21']	['GCF_006494835.1_ASM649483v1', 'GCF_006494855.1_ASM649485v1', 'GCF_006494875.1_ASM649487v1']	3	1.0	0.0	0.0	['replication initiator protein A']	5.52667236328125	['firmicutes']	['Enterococcus']	225.0	0.0
WP_035168998.1	[]	['WP_095670440.1', 'WP_064534206.1', 'WP_045353511.1', 'WP_014216278.1', 'WP_021816942.1', 'WP_057707345.1', 'WP_065937750.1', 'WP_065928815.1', 'WP_085764207.1', 'WP_095670435.1', 'WP_075667786.1', 'WP_068377436.1', 'WP_012552806.1', 'WP_075667751.1', 'WP_041161889.1', 'WP_041816155.1', 'WP_039098891.1', 'WP_101812797.1', 'YP_163740.1', 'WP_014564421.1', 'WP_128531440.1', 'WP_057137318.1', 'WP_139566561.1', 'WP_003603789.1', 'WP_014940856.1', 'WP_003646133.1', 'WP_068226384.1', 'WP_035168998.1', 'WP_085764194.1', 'YP_163781.1', 'WP_014386869.1', 'WP_065928759.1', 'WP_041095822.1']	['AcrIIA21']	['GCF_000008925.1_ASM892v1', 'GCF_000019245.4_ASM1924v3', 'GCF_000189515.1_ASM18951v1', 'GCF_000359625.1_ASM35962v1', 'GCF_000392485.3_ASM39248v2', 'GCF_000412205.1_ASM41220v1', 'GCF_000829395.1_ASM82939v1', 'GCF_001611035.1_ASM161103v1', 'GCF_001611075.1_ASM161107v1', 'GCF_001611115.1_ASM161111v1', 'GCF_001611135.1_ASM161113v1', 'GCF_001611155.1_ASM161115v1', 'GCF_001659745.1_ASM165974v1', 'GCF_001663655.1_ASM166365v1', 'GCF_001663715.1_ASM166371v1', 'GCF_001663735.1_ASM166373v1', 'GCF_001702175.1_ASM170217v1', 'GCF_001702195.1_ASM170219v1', 'GCF_001922025.1_ASM192202v1', 'GCF_001941785.1_ASM194178v1', 'GCF_002116955.1_ASM211695v1', 'GCF_002158885.1_ASM215888v1', 'GCF_002287905.1_ASM228790v1', 'GCF_002442835.1_ASM244283v1', 'GCF_002849955.1_ASM284995v1', 'GCF_003345375.1_ASM334537v1', 'GCF_003627355.1_ASM362735v1', 'GCF_003641145.1_ASM364114v1', 'GCF_004028295.1_ASM402829v1', 'GCF_004028315.1_ASM402831v1', 'GCF_004028335.1_ASM402833v1', 'GCF_004087995.1_ASM408799v1', 'GCF_004101505.1_ASM410150v1', 'GCF_004337615.1_ASM433761v1', 'GCF_005576935.1_ASM557693v1', 'GCF_006228245.1_ASM622824v1', 'GCF_006228305.1_ASM622830v1']	47	0.0425531914893617	0.9574468085106383	0.0	['', 'ATPase', 'filamentation induced by cAMP protein fic', 'hypothetical protein']	9.77330633934508	['firmicutes']	['Lactobacillus', 'Pediococcus']	92.04255319148936	0.0
WP_003773326.1	[]	['WP_003773326.1', 'WP_018579757.1']	['AcrIIA21']	['GCF_000270085.1_ASM27008v1', 'GCF_000404205.1_ASM40420v1', 'GCF_001602155.1_ASM160215v1', 'GCF_001723625.1_ASM172362v1', 'GCF_003226675.1_ASM322667v1', 'GCF_900637845.1_52683_D03']	6	1.0	0.0	0.0	['hypothetical protein']	6.012837727864583	['firmicutes']	['Erysipelothrix']	428.0	0.0
WP_003641628.1	[]	['WP_003641628.1', 'WP_003701412.1']	['AcrIIA21']	['GCF_001011095.1_ASM101109v1', 'GCF_004028295.1_ASM402829v1', 'GCF_004028315.1_ASM402831v1']	3	1.0	0.0	0.0	['chromosomal replication initiator protein DnaA']	5.79486083984375	['firmicutes']	['Lactobacillus']	454.6666666666667	0.0
WP_101495184.1	[]	['WP_101495184.1', 'WP_020923905.1']	['AcrIIA21']	['GCF_004028295.1_ASM402829v1', 'GCF_004028315.1_ASM402831v1', 'GCF_004101505.1_ASM410150v1', 'GCF_004337615.1_ASM433761v1']	5	0.0	1.0	0.0	['hypothetical protein']	4.65396728515625	['firmicutes']	['Lactobacillus']	47.0	0.0
WP_065900764.1	[]	['WP_065900764.1']	['AcrIIA21']	['GCF_001702195.1_ASM170219v1']	1	1.0	0.0	0.0	['hypothetical protein']	9.15411376953125	['firmicutes']	['Lactobacillus']	363.0	0.0
WP_057504647.1	[]	['NP_863229.1', 'WP_002505615.1', 'WP_000997674.1', 'WP_057504647.1']	['AcrIIA21']	['GCF_000007645.1_ASM764v1', 'GCF_000009665.1_ASM966v1', 'GCF_001019495.2_ASM101949v2', 'GCF_006094375.1_ASM609437v1', 'GCF_900607255.1_BPH2019']	5	0.0	1.0	0.0	['DUF3847 domain-containing protein', 'hypothetical protein']	9.73031005859375	['firmicutes']	['Staphylococcus']	79.0	0.0
WP_061695142.1	['AcrIIC3']	['WP_061695142.1', 'WP_061384809.1', 'WP_096110875.1']	['AcrIIC2', 'AcrIIC3', 'aca3']	['GCF_001697205.1_ASM169720v1', 'GCF_002556585.1_ASM255658v1', 'GCF_003355275.1_ASM335527v1', 'GCF_003355375.1_ASM335537v1']	12	1.0	0.0	0.0	['hypothetical protein']	5.996124267578125	['b-proteobacteria']	['Neisseria']	116.0	0.0
YP_009218524.1	[]	['YP_009218524.1']	['AcrIIIA1']	['GCF_001500815.1_ViralProj307794']	1	0.0	0.0	1.0	['hypothetical protein']	5.76885986328125	['viruses']	['Sulfolobus']	102.0	0.0
NP_666578.1	[]	['NP_666624.1', 'NP_666578.1', 'YP_009272987.1']	['AcrID1', 'AcrIIIB1']	['GCF_000845065.1_ViralProj14514', 'GCF_000857285.1_ViralProj15191', 'GCF_001725895.1_ViralProj342507']	4	0.0	0.0	1.0	['glycosyltransferase', 'hypothetical protein', 'putative group 1 glycosyl transferase']	6.6866455078125	['viruses']	['Sulfolobus']	356.0	0.0
YP_009362968.1	[]	['YP_009362913.1', 'YP_009362780.1', 'YP_009362730.1', 'YP_009362662.1', 'YP_009362683.1', 'YP_009362968.1', 'YP_009362560.1', 'YP_009362605.1']	['AcrIIIB1', 'acaID1']	['GCF_002158615.1_ViralProj387750', 'GCF_002158675.1_ViralProj387747', 'GCF_002158715.1_ViralProj387744', 'GCF_002158735.1_ViralProj387748', 'GCF_002158795.1_ViralProj387745', 'GCF_002158815.1_ViralProj387749']	12	0.0	0.0	1.0	['hypothetical protein']	6.210601806640625	['viruses']	['Sulfolobus']	150.66666666666666	0.0
WP_046697118.1	['AcrVA1']	['WP_046697118.1']	['AcrVA1', 'AcrVA2']	['GCF_000988615.1_ASM98861v1', 'GCF_000988655.1_ASM98865v1', 'GCF_000988685.1_ASM98868v1', 'GCF_000988705.1_ASM98870v1']	8	1.0	0.0	0.0	['hypothetical protein']	4.00872802734375	['g-proteobacteria']	['Moraxella']	66.0	0.0
